#,fecha_utc,lado,sesion,entry,stop,target,rr,liq_ratio_spike,dz_spike,barras_acum,rango_pct,qty_btc,notional_usd,leverage_x,risk_usd,fee_usd,resultado,barras_exit,r_multiple,pnl_usd,equity_usd
1,2025-06-01 04:33,LONG,Asia,64073.99,63914.72,64392.53,2.0,0.936,102.048,21,0.141,0.03139,2011.49,4.02,5.0,0.8,TARGET_HIT,6,2.0,9.2,509.2
2,2025-06-01 07:23,SHORT,London,67525.44,67739.63,67097.08,2.0,0.873,124.595,34,0.521,0.02334,1576.3,3.15,5.0,0.63,TARGET_HIT,6,2.0,9.37,518.56
3,2025-06-01 08:20,SHORT,London,66174.3,66226.27,66070.37,2.0,0.667,37.862,26,0.244,0.07556,5000.0,10.0,3.93,2.0,STOP_HIT,1,-1.0,-5.93,512.64
4,2025-06-01 13:51,SHORT,LondonNyOverlap,62471.2,62561.09,62291.42,2.0,0.837,-45.041,28,0.212,0.05562,3474.87,6.95,5.0,1.39,TARGET_HIT,6,2.0,8.61,521.25
5,2025-06-01 15:03,LONG,LondonNyOverlap,61267.44,61211.19,61379.93,2.0,0.22,-112.77,22,0.144,0.08161,5000.0,10.0,4.59,2.0,TARGET_HIT,1,2.0,7.18,528.43
6,2025-06-01 23:52,LONG,LateNY,62667.4,62643.89,62714.42,2.0,0.848,-22.993,19,0.081,0.07979,5000.0,10.0,1.88,2.0,STOP_HIT,1,-1.0,-3.88,524.55
7,2025-06-03 17:55,SHORT,NewYork,69097.38,69109.9,69072.36,2.0,0.284,27.643,41,0.479,0.07236,5000.0,10.0,0.91,2.0,TARGET_HIT,1,2.0,-0.19,524.37
8,2025-06-06 02:55,LONG,Asia,64245.06,64236.78,64261.64,2.0,0.723,104.457,54,0.099,0.07783,5000.0,10.0,0.64,2.0,STOP_HIT,1,-1.0,-2.64,521.72
9,2025-06-06 06:09,SHORT,Asia,66855.47,66857.87,66850.67,2.0,0.79,101.909,37,0.486,0.07479,5000.0,10.0,0.18,2.0,STOP_HIT,1,-1.0,-2.18,519.54
10,2025-06-06 07:55,SHORT,London,65430.14,65504.65,65281.1,2.0,1.022,39.556,18,0.07,0.06711,4390.7,8.78,5.0,1.76,TARGET_HIT,1,2.0,8.24,527.79
11,2025-06-07 15:16,LONG,LondonNyOverlap,57277.14,57188.35,57454.74,2.0,0.209,-47.711,21,0.428,0.05631,3225.43,6.45,5.0,1.29,TARGET_HIT,8,2.0,8.71,536.5
12,2025-06-08 04:40,SHORT,Asia,56915.48,57137.81,56470.81,2.0,0.724,23.233,23,0.574,0.02249,1279.98,2.56,5.0,0.51,TARGET_HIT,18,2.0,9.49,545.98
13,2025-06-08 20:05,LONG,NewYork,56967.71,56928.86,57045.4,2.0,0.951,30.624,39,0.048,0.08777,5000.0,10.0,3.41,2.0,STOP_HIT,1,-1.0,-5.41,540.57
14,2025-06-08 21:47,LONG,NewYork,57534.31,57304.36,57994.22,2.0,1.13,31.027,59,0.225,0.02174,1251.02,2.5,5.0,0.5,TARGET_HIT,10,2.0,9.5,550.07
15,2025-06-09 14:34,LONG,LondonNyOverlap,59963.89,59788.52,60314.63,2.0,0.29,-4.698,41,0.205,0.02851,1709.64,3.42,5.0,0.68,TARGET_HIT,6,2.0,9.32,559.39
16,2025-06-09 16:54,SHORT,LondonNyOverlap,59892.6,60048.96,59579.9,2.0,1.129,-2.428,25,0.6,0.03198,1915.21,3.83,5.0,0.77,TARGET_HIT,11,2.0,9.23,568.62
17,2025-06-09 18:56,SHORT,NewYork,58260.21,58468.62,57843.37,2.0,0.524,-94.911,45,0.094,0.02399,1397.73,2.8,5.0,0.56,TARGET_HIT,7,2.0,9.44,578.06
18,2025-06-10 01:25,SHORT,Asia,58403.07,58593.8,58021.62,2.0,0.659,65.808,25,0.166,0.02622,1531.04,3.06,5.0,0.61,TARGET_HIT,5,2.0,9.39,587.45
19,2025-06-10 02:30,LONG,Asia,56792.97,56641.9,57095.13,2.0,0.701,-31.014,36,0.379,0.0331,1879.69,3.76,5.0,0.75,TARGET_HIT,12,2.0,9.25,596.7
20,2025-06-10 06:09,LONG,Asia,55972.93,55924.13,56070.53,2.0,0.886,-48.876,21,0.439,0.08933,5000.0,10.0,4.36,2.0,TARGET_HIT,6,2.0,6.72,603.42
21,2025-06-10 11:11,SHORT,London,59902.79,60256.36,59195.65,2.0,0.676,64.175,38,0.246,0.01414,847.11,1.69,5.0,0.34,TARGET_HIT,7,2.0,9.66,613.08
22,2025-06-10 18:09,SHORT,NewYork,58941.44,59464.61,57895.11,2.0,0.529,56.455,32,0.514,0.00956,563.31,1.13,5.0,0.23,TARGET_HIT,12,2.0,9.77,622.85
23,2025-06-11 12:30,SHORT,LondonNyOverlap,46322.5,46418.9,46129.71,2.0,0.852,-252.665,47,0.445,0.05187,2402.62,4.81,5.0,0.96,TARGET_HIT,18,2.0,9.04,631.89
24,2025-06-12 09:19,LONG,London,45029.1,44716.72,45653.87,2.0,0.922,-68.976,51,0.579,0.01601,720.74,1.44,5.0,0.29,TARGET_HIT,17,2.0,9.71,641.6
25,2025-06-13 03:57,SHORT,Asia,43037.35,43050.67,43010.69,2.0,0.266,-52.423,24,0.165,0.11618,5000.0,10.0,1.55,2.0,STOP_HIT,2,-1.0,-3.55,638.06
26,2025-06-13 22:55,LONG,LateNY,47960.0,47880.57,48118.88,2.0,0.275,311.44,30,0.063,0.06295,3019.01,6.04,5.0,1.21,TARGET_HIT,8,2.0,8.79,646.85
27,2025-06-15 02:09,LONG,Asia,48164.81,48139.79,48214.87,2.0,0.624,-26.671,30,0.57,0.10381,5000.0,10.0,2.6,2.0,TARGET_HIT,1,2.0,3.19,650.04
28,2025-06-15 03:30,LONG,Asia,49114.37,49108.32,49126.47,2.0,0.605,-4.206,27,0.227,0.1018,5000.0,10.0,0.62,2.0,TARGET_HIT,1,2.0,-0.77,649.28
29,2025-06-15 08:58,LONG,London,50701.01,50699.52,50703.99,2.0,0.242,54.048,54,0.204,0.09862,5000.0,10.0,0.15,2.0,STOP_HIT,1,-1.0,-2.15,647.13
30,2025-06-16 09:26,LONG,London,51899.42,51704.73,52288.79,2.0,0.438,10.736,23,0.164,0.02568,1332.87,2.67,5.0,0.53,TARGET_HIT,10,2.0,9.47,656.6
31,2025-06-16 18:11,LONG,NewYork,49918.95,49904.14,49948.58,2.0,0.226,-48.035,28,0.513,0.10016,5000.0,10.0,1.48,2.0,STOP_HIT,3,-1.0,-3.48,653.11
32,2025-06-17 03:32,LONG,Asia,51103.45,51060.55,51189.25,2.0,1.146,41.362,47,0.192,0.09784,5000.0,10.0,4.2,2.0,TARGET_HIT,1,2.0,6.39,659.51
33,2025-06-17 09:49,LONG,London,54903.79,54821.78,55067.83,2.0,1.004,123.825,59,0.377,0.06097,3347.38,6.69,5.0,1.34,TARGET_HIT,9,2.0,8.66,668.17
34,2025-06-17 13:08,SHORT,LondonNyOverlap,55007.63,55204.79,54613.3,2.0,1.085,146.701,45,0.365,0.02536,1395.0,2.79,5.0,0.56,TARGET_HIT,11,2.0,9.44,677.61
35,2025-06-18 19:42,SHORT,NewYork,52541.98,52683.74,52258.46,2.0,0.214,5.535,52,0.581,0.03527,1853.2,3.71,5.0,0.74,TARGET_HIT,3,2.0,9.26,686.87
36,2025-06-19 01:56,SHORT,Asia,53964.38,54104.18,53684.79,2.0,0.492,29.711,58,0.487,0.03577,1930.06,3.86,5.0,0.77,TARGET_HIT,23,2.0,9.23,696.1
37,2025-06-20 04:52,SHORT,Asia,48788.43,48799.29,48766.7,2.0,0.282,36.437,27,0.199,0.10248,5000.0,10.0,1.11,2.0,TARGET_HIT,1,2.0,0.23,696.32
38,2025-06-20 06:13,SHORT,Asia,47782.47,47786.45,47774.5,2.0,0.898,-44.988,36,0.113,0.10464,5000.0,10.0,0.42,2.0,STOP_HIT,1,-1.0,-2.42,693.91
39,2025-06-22 04:28,SHORT,Asia,41653.67,41694.1,41572.8,2.0,0.712,5.218,35,0.268,0.12004,5000.0,10.0,4.85,2.0,TARGET_HIT,2,2.0,7.71,701.61
40,2025-06-22 09:45,SHORT,London,42396.2,42456.37,42275.86,2.0,0.485,37.62,19,0.404,0.0831,3523.03,7.05,5.0,1.41,TARGET_HIT,9,2.0,8.59,710.2
41,2025-06-22 14:37,SHORT,LondonNyOverlap,40640.22,40657.7,40605.25,2.0,0.289,-56.119,50,0.467,0.12303,5000.0,10.0,2.15,2.0,TARGET_HIT,4,2.0,2.3,712.5
